2023-01-30 09:31:31 200 GET /assets/js/price-ranger.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 71650
2023-01-30 09:31:31 200 GET /assets/js/wow.min.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 8427
2023-01-30 09:31:31 200 GET /assets/js/translate.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 1017
2023-01-30 09:31:31 200 GET /assets/images/indexImage/2.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 114014
2023-01-30 09:31:31 200 GET /assets/images/indexImage/3.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 47078
2023-01-30 09:31:31 200 GET /assets/images/indexImage/4.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 110626
2023-01-30 09:31:31 200 GET /assets/images/box-item/item-h5.2.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 2484
2023-01-30 09:31:31 200 GET /assets/images/box-item/item-h5.3.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 2484
2023-01-30 09:31:31 200 GET /assets/images/box-item/item-h5.1.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 2487
2023-01-30 09:31:31 200 GET /assets/images/logo/logo02.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 10593
2023-01-30 09:31:31 200 GET /assets/js/swiper-bundle.min.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 146369
2023-01-30 09:31:31 404 GET /assets/images/indexImage/5.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 163
2023-01-30 09:31:31 200 GET /assets/js/moralis.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 1346297
2023-01-30 09:31:32 200 GET /assets/images/indexImage/2.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 114014
2023-01-30 09:31:32 200 GET /assets/images/indexImage/4.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 110626
2023-01-30 09:31:32 200 GET /assets/images/indexImage/1.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 154805
2023-01-30 09:31:32 200 GET /assets/images/box-item/item-h5.1.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 2487
2023-01-30 09:31:32 200 GET /assets/images/box-item/item-h5.2.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 2484
